,Title,Organization,Skills,Ratings,Review counts,Metadata
11,IBM Full Stack Software Developer,IBM," Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,4.6(42K reviews),Beginner · Professional Certificate · 3 - 6 Months
12,Introduction to Data Science,IBM," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing",4.6,4.6(86K reviews),Beginner · Specialization · 3 - 6 Months
13,Data Science Fundamentals with Python and SQL,IBM," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,4.6(60K reviews),Beginner · Specialization · 3 - 6 Months
14,IBM Data Engineering,IBM," Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,4.6(47K reviews),Beginner · Professional Certificate · 3 - 6 Months
15,Key Technologies for Business,IBM," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing",4.7,4.7(83K reviews),Beginner · Specialization · 1 - 3 Months
16,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,4.7(30K reviews),Beginner · Specialization · 3 - 6 Months
17,Deep Learning,DeepLearning.AI," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,4.8(142K reviews),Intermediate · Specialization · 3 - 6 Months
18,Data Engineering Foundations,IBM," Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,4.6(46K reviews),Beginner · Specialization · 3 - 6 Months
19,Applied Data Science,IBM," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.6,4.6(49K reviews),Beginner · Specialization · 3 - 6 Months
20,IBM Back-End Development,IBM," Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, SQL, Software-Defined Networking, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,4.6(37K reviews),Beginner · Professional Certificate · 3 - 6 Months
21,IBM AI Foundations for Business,IBM," Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Data Mining, Innovation, Regression, Writing",4.7,4.7(78K reviews),Beginner · Specialization · 1 - 3 Months
22,IBM Data Analytics with Excel and R,IBM," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",4.7,4.7(20K reviews),Beginner · Professional Certificate · 3 - 6 Months
23,Data Analysis and Visualization Foundations,IBM," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,4.7(20K reviews),Beginner · Specialization · 3 - 6 Months
24,Applied Software Engineering Fundamentals,IBM," Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",4.6,4.6(37K reviews),Beginner · Specialization · 3 - 6 Months
25,Prompt Engineering,Vanderbilt University," Creativity, Data Analysis, Problem Solving, Writing",4.8,4.8(2.1K reviews),Beginner · Specialization · 1 - 3 Months
26,AI Foundations for Everyone,IBM," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science",4.7,4.7(13K reviews),Beginner · Specialization · 3 - 6 Months
27,Generative AI with Large Language Models,DeepLearning.AI," Machine Learning, Natural Language Processing, Python Programming",4.8,4.8(1.6K reviews),Intermediate · Course · 1 - 4 Weeks
28,Cloud Application Development Foundations,IBM," Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Cloud Storage, Continuous Integration, Software As A Service, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework)",4.6,4.6(6.6K reviews),Beginner · Specialization · 3 - 6 Months
29,"DevOps, Cloud, and Agile Foundations",IBM," DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",4.7,4.7(8K reviews),Beginner · Specialization · 3 - 6 Months
30,Google Advanced Data Analytics,Google," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,4.7(2.5K reviews),Advanced · Professional Certificate · 3 - 6 Months
31,IBM and ISC2 Cybersecurity Specialist,Multiple educators," Computer Security Incident Management, Leadership and Management, Cloud Computing, System Security, Computer Networking, Risk Management, Cloud Storage, Operating Systems, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering",4.7,4.7(8.1K reviews),Beginner · Professional Certificate · 3 - 6 Months
32,IBM IT Support,IBM," Customer Success, Cloud Computing, Computer Networking, Strategy and Operations, Operating Systems, Cloud Storage, Cloud Applications, Leadership and Management, System Security, Customer Support, Communication, Computer Programming, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,4.7(6.9K reviews),Beginner · Professional Certificate · 3 - 6 Months
33,Business Intelligence (BI) Analyst,IBM," Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, NoSQL, PostgreSQL, Professional Development, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",4.7,4.7(9.6K reviews),Beginner · Professional Certificate · 3 - 6 Months
34,Meta Front-End Developer,Meta," HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",4.7,4.7(16K reviews),Beginner · Professional Certificate · 3 - 6 Months
35,Generative AI Fundamentals,IBM," Machine Learning, Natural Language Processing",4.7,4.7(116 reviews),Beginner · Specialization · 3 - 6 Months
36,Information Technology (IT) and Cloud Fundamentals,IBM," Cloud Computing, Computer Networking, Operating Systems, Cloud Storage, System Security, Cloud Applications, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",4.7,4.7(6.4K reviews),Beginner · Specialization · 3 - 6 Months
37,Microsoft Power BI Data Analyst,Microsoft," Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",4.6,4.6(1.4K reviews),Beginner · Professional Certificate · 3 - 6 Months
38,Generative AI for Everyone,DeepLearning.AI," Strategy, Writing",4.9,4.9(528 reviews),Beginner · Course · 1 - 4 Weeks
39,IBM AI Engineering,IBM," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Natural Language Processing, Data Science",4.6,4.6(18K reviews),Intermediate · Professional Certificate · 3 - 6 Months
40,IBM IT Project Manager,IBM," Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",4.8,4.8(2.7K reviews),Beginner · Professional Certificate · 3 - 6 Months
41,IBM Data Warehouse Engineer,IBM," Data Management, Database Administration, Databases, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, Business Analysis, PostgreSQL, Devops Tools, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",4.7,4.7(3.8K reviews),Beginner · Professional Certificate · 3 - 6 Months
42,Generative AI for Software Developers,IBM," Natural Language Processing, Software Engineering",4.7,4.7(106 reviews),Intermediate · Specialization · 1 - 3 Months
43,Generative AI for Data Scientists,IBM," Data Analysis, Data Science, Natural Language Processing",4.7,4.7(106 reviews),Intermediate · Specialization · 1 - 3 Months
44,Foundations of Cybersecurity,Google," Linux, Computer Programming, Leadership and Management, SQL",4.9,4.9(14K reviews),Beginner · Course · 1 - 4 Weeks
45,Foundations of Project Management,Google," Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",4.9,4.9(75K reviews),Beginner · Course · 1 - 4 Weeks
46,Supervised Machine Learning: Regression and Classification,DeepLearning.AI," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",4.9,4.9(16K reviews),Beginner · Course · 1 - 4 Weeks
47,"BI Foundations with SQL, ETL and Data Warehousing",IBM," Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Database Theory, Devops Tools, Leadership and Management, Linux, SQL, Business Intelligence, IBM Cloud",4.6,4.6(20K reviews),Beginner · Specialization · 3 - 6 Months
48,"Foundations: Data, Data, Everywhere",Google," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",4.8,4.8(96K reviews),Beginner · Course · 1 - 3 Months
49,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis",4.6,4.6(1.4K reviews),Beginner · Specialization · 1 - 3 Months
50,IBM Full-Stack JavaScript Developer,IBM," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",4.5,4.5(2.6K reviews),Beginner · Professional Certificate · 3 - 6 Months
51,Business Foundations,University of Pennsylvania," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",4.7,4.7(24K reviews),Beginner · Specialization · 3 - 6 Months
52,Google IT Automation with Python,Google," Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",4.7,4.7(43K reviews),Beginner · Professional Certificate · 3 - 6 Months
53,AI For Everyone,DeepLearning.AI," Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",4.8,4.8(40K reviews),Beginner · Course · 1 - 4 Weeks
54,IBM IT Scrum Master,IBM," DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",4.8,4.8(4.1K reviews),Beginner · Professional Certificate · 3 - 6 Months
55,Python for Everybody,University of Michigan," Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, Extract, Transform, Load, SQL, HTML and CSS",4.8,4.8(269K reviews),Beginner · Specialization · 3 - 6 Months
56,IBM Project Manager,IBM," Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.8,4.8(2K reviews),Beginner · Professional Certificate · 3 - 6 Months
57,IBM Applied DevOps Engineering,IBM," DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Computer Programming, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",4.7,4.7(4.3K reviews),Intermediate · Professional Certificate · 3 - 6 Months
58,AI in Healthcare,Stanford University," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",4.7,4.7(1.3K reviews),Beginner · Specialization · 3 - 6 Months
59,IBM Front-End Developer,IBM," Cloud Applications, Software Engineering, Computer Programming, Application Development, Cloud Computing, IBM Cloud, Programming Principles, Software Engineering Tools, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Cloud Storage, Continuous Delivery, Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Strategy, User Experience",4.6,4.6(1.8K reviews),Beginner · Professional Certificate · 3 - 6 Months
60,IBM Cybersecurity Analyst,IBM," Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",4.6,4.6(22K reviews),Beginner · Professional Certificate · 3 - 6 Months
61,IBM Back-end JavaScript Developer,IBM," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",4.5,4.5(2.3K reviews),Beginner · Professional Certificate · 3 - 6 Months
62,Meta Social Media Marketing,Meta," Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Planning, Entrepreneurship",4.8,4.8(18K reviews),Beginner · Professional Certificate · 3 - 6 Months
63,Meta React Native,Meta," React (web framework), Javascript, Mobile Development, Mobile Development Tools, Web Development, HTML and CSS, Front-End Web Development, Web Development Tools, Application Development, Computer Programming, User Experience, Web Design, Software Engineering Tools, SQL, Software Engineering, Agile Software Development, Collaboration, Data Management, Human Computer Interaction, Interactive Design, Linux, Product Design, Product Lifecycle, Project Management",4.7,4.7(7.2K reviews),Beginner · Specialization · 3 - 6 Months
64,Finance & Quantitative Modeling for Analysts,University of Pennsylvania," Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Mathematics, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Computer Programming",4.5,4.5(16K reviews),Beginner · Specialization · 3 - 6 Months
65,Technical Support Fundamentals,Google," Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware",4.8,4.8(147K reviews),Beginner · Course · 1 - 3 Months
66,Natural Language Processing,DeepLearning.AI," Natural Language Processing, Machine Learning, Python Programming, Statistical Programming, Artificial Neural Networks, Deep Learning, Probability & Statistics, Statistical Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Human Learning, Linear Algebra",4.6,4.6(5.5K reviews),Intermediate · Specialization · 3 - 6 Months
67,DeepLearning.AI TensorFlow Developer,DeepLearning.AI," Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Data Visualization, Statistical Machine Learning, Statistical Analysis",4.7,4.7(24K reviews),Intermediate · Professional Certificate · 3 - 6 Months
68,Introduction to Finance and Accounting,University of Pennsylvania," Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Estimation, Decision Making, Investment Management, Taxes, Budget Management, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Entrepreneurship",4.6,4.6(13K reviews),Beginner · Specialization · 3 - 6 Months
69,IT Fundamentals for Cybersecurity,IBM," Cryptography, Network Security, Linux, Networking Hardware, Security Software, System Software, Cloud Computing, Cyberattacks, Databases, Leadership and Management, Operating Systems, SQL, System Security",4.6,4.6(20K reviews),Beginner · Specialization · 3 - 6 Months
70,Foundations of Digital Marketing and E-commerce,Google," Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media",4.8,4.8(16K reviews),Beginner · Course · 1 - 4 Weeks
